CustomerID,Name,Age,Gender,City,SignupDate,PurchaseAmount,SatisfactionScore
CUST00854,Mary Lopez,47,Male,Phoenix,2023-06-24,195.12,4
CUST00787,Robert Jones,33,Male,Philadelphia,2023-01-18,289.34,4
CUST00315,Michael Gonzalez,41,Male,Phoenix,2020-01-07,684.51,4
CUST00815,John Rodriguez,47,Male,Houston,2023-03-25,240.09,3
CUST00977,Joseph Thomas,49,Female,San Diego,2024-04-08,42.15,3
CUST00010,Barbara Wilson,25,Male,New York,2018-01-22,206.32,4
CUST00135,David Lopez,33,Male,Houston,2018-11-11,252.84,4
CUST00777,Michael Rodriguez,38,Male,San Jose,2022-12-25,257.36,3
CUST00410,Mary Lopez,40,Male,Phoenix,2020-08-17,244.16,1
CUST00413,Robert Hernandez,55,Male,San Diego,2020-08-24,108.52,2
CUST00975,Barbara Rodriguez,27,Female,Phoenix,2024-04-03,683.92,4
CUST00460,William Martinez,43,Male,Chicago,2020-12-12,263.12,4
CUST00510,Jennifer Johnson,53,Male,San Diego,2021-08-04,325.34,5
CUST00055,John Martinez,23,Male,San Diego,2018-05-07,316.58,4
CUST00780,Sarah Anderson,37,Female,San Antonio,2023-01-02,781.6325,4
CUST00713,Jennifer Johnson,48,Male,Los Angeles,2022-07-28,621.91,3
CUST00543,Thomas Jones,46,Female,Unknown,2021-06-25,140.02,5
CUST00816,Unknown,40,Female,San Antonio,2023-03-27,224.52,5
CUST00147,Robert Williams,56,Female,San Diego,2018-12-09,154.76,4
CUST00835,Jennifer Jones,61,Male,Houston,2023-05-11,183.66,4
CUST00488,Patricia Martinez,13,Female,Unknown,2021-02-16,184.77,3
CUST00375,Thomas Rodriguez,39,Male,Chicago,2020-05-27,325.52,3
CUST00939,Jennifer Anderson,46,Female,Chicago,2024-01-09,261.22,4
CUST00725,Richard Smith,40,Female,Los Angeles,2022-08-26,726.85,4
CUST00035,Elizabeth Brown,50,Female,San Antonio,2018-03-21,485.78,5
CUST00172,Richard Williams,41,Female,San Antonio,2019-02-06,514.82,5
CUST00396,Jennifer Lopez,56,Female,Philadelphia,2020-07-15,211.05,2
CUST00819,Thomas Rodriguez,26,Female,San Jose,2023-03-04,117.65,4
CUST00362,Susan Anderson,72,Female,Houston,2020-04-26,382.2,1
CUST00329,John Garcia,43,Female,Houston,2020-02-09,209.94,4
CUST00171,Jennifer Garcia,56,Male,Houston,2019-03-02,427.98,4
CUST00257,John Brown,60,Male,Dallas,2019-08-24,298.41,4
CUST00803,Karen Gonzalez,50,Female,Chicago,2023-02-24,255.18,5
CUST00180,Thomas Thomas,35,Male,Chicago,2019-02-24,145.65,3
CUST00917,David Smith,53,Male,San Diego,2023-11-19,134.0,4
CUST00586,Elizabeth Smith,40,Female,San Diego,2021-10-04,252.84,4
CUST00165,Linda Miller,38,Female,Houston,2019-01-20,250.04,3
CUST00893,Richard Wilson,39,Male,San Jose,2023-09-24,240.24,3
CUST00962,Linda Hernandez,26,Female,New York,2024-03-03,38.25,5
CUST00326,Linda Martinez,27,Male,Los Angeles,2020-02-02,672.48,5
CUST00467,Linda Smith,48,Male,Houston,2020-12-28,316.96,5
CUST00373,John Rodriguez,45,Male,Philadelphia,2020-05-22,670.5,3
CUST00602,Jennifer Garcia,47,Male,San Jose,2021-10-11,184.51,3
CUST00485,Barbara Rodriguez,59,Male,San Antonio,2021-02-09,203.72,5
CUST00014,Thomas Hernandez,66,Male,Chicago,2018-01-31,781.6325,5
CUST00748,Linda Smith,41,Male,Houston,2022-10-18,86.08,5
CUST00317,Michael Wilson,16,Female,Dallas,2020-01-12,205.28,3
CUST00456,Barbara Martinez,19,Female,San Diego,2020-12-03,497.96,5
CUST00141,Karen Lopez,49,Male,New York,2018-11-25,379.83,4
CUST00217,Joseph Garcia,47,Female,San Antonio,2019-05-22,254.66,5
CUST00490,Richard Johnson,41,Male,Philadelphia,2021-02-20,386.31,5
CUST00306,Michael Lopez,64,Female,San Diego,2019-12-17,544.41,2
CUST00658,James Wilson,25,Male,Phoenix,2022-03-21,197.23,5
CUST00843,Thomas Davis,56,Female,San Diego,2023-05-29,220.93,3
CUST00583,Patricia Garcia,47,Male,New York,2021-09-26,344.89,3
CUST00898,Jessica Garcia,29,Female,San Jose,2023-10-05,288.25,4
CUST00660,Sarah Johnson,41,Male,Los Angeles,2022-03-26,357.17,5
CUST00409,Linda Thomas,43,Female,New York,2020-08-14,460.21,3
CUST00100,William Brown,29,Female,Chicago,2018-08-21,90.42,4
CUST00960,Jennifer Thomas,51,Male,Phoenix,2024-02-28,162.15,4
CUST00154,Linda Brown,61,Female,Los Angeles,2018-12-25,268.67,5
CUST00047,James Rodriguez,25,Male,Philadelphia,2018-04-18,302.7,4
CUST00173,Linda Hernandez,51,Male,San Antonio,2019-02-08,331.5,4
CUST00964,Linda Jones,48,Female,Philadelphia,2024-03-08,448.1,4
CUST00678,Mary Williams,28,Male,San Diego,2022-07-05,267.22,4
CUST00223,Patricia Garcia,39,Female,New York,2019-05-06,293.95,4
CUST00996,Michael Anderson,26,Male,Houston,2024-05-22,102.55,4
CUST00260,Charles Martinez,22,Female,San Diego,2019-08-31,196.06,3
CUST00559,Sarah Davis,37,Female,Dallas,2021-01-08,528.17,4
CUST00233,John Martinez,48,Female,San Diego,2019-06-29,64.37,4
CUST00109,Mary Lopez,45,Male,Los Angeles,2018-09-11,360.53,4
CUST00849,Susan Jones,30,Male,San Jose,2023-12-06,261.19,3
CUST00735,Robert Garcia,66,Male,Dallas,2022-09-18,248.62,2
CUST00099,Joseph Hernandez,40,Male,Houston,2018-08-18,270.29,3
CUST00832,David Johnson,50,Male,Chicago,2023-05-03,252.84,2
CUST00221,Barbara Lopez,35,Female,San Jose,2019-05-31,252.96,5
CUST00358,Robert Williams,56,Male,San Antonio,2020-04-17,85.22,3
CUST00025,William Martinez,24,Male,Phoenix,2018-02-26,569.73,4
CUST00991,Barbara Smith,33,Male,San Jose,2024-05-10,413.19,4
CUST00681,Jessica Brown,27,Female,New York,2022-05-14,276.48,4
