CustomerID,Name,Age,Gender,City,SignupDate,PurchaseAmount,SatisfactionScore
CUST00854,Mary Lopez,47.0,Male,Phoenix,24/06/2023,195.12,4.0
CUST00787,Robert Jones,33.0,MALE,Philadelphia,"January 18, 2023",289.34,4.0
CUST00315,Michael Gonzalez,41.0,male,Phoenix,01-07-2020,684.51,4.0
CUST00815,John Rodriguez,47.0,Male ,Houston,03-25-2023,240.09,3.0
CUST00977,Joseph Thomas,49.0, female,San Diego,2024-04-08,42.15,3.0
CUST00010,Barbara Wilson,25.0,male,New York,"January 22, 2018",206.32,4.0
CUST00135,David Lopez, 33 ,Male ,Houston,"November 11, 2018",,4.0
CUST00777,Michael Rodriguez,38.0,,San Jose,2022-12-25,257.36,3.0
CUST00410,Mary Lopez,40.0,MALE,Phoenix,17-Aug-2020,244.16,1.0
CUST00413,Robert Hernandez,55.0,MALE,San Diego,08-24-2020,108.52,2.0
CUST00975,BARBARA RODRIGUEZ,27.0,FEMALE,Phoenix,04-03-2024,683.92,4.0
CUST00460,William Martinez,43.0,M,Chicago,12/12/2020,263.12,4.0
CUST00510,Jennifer Johnson,53.0,male,San Diego,08/04/2021,325.34,5.0
CUST00055,John Martinez,23.0,male,San Diego,2018-05-07,316.58,4.0
CUST00780,Sarah Anderson,37.0, female,San Antonio,2023-01-02,922.72,4.0
CUST00713,Jennifer Johnson,48.0,MALE,Los Angeles,28-Jul-2022,621.91,3.0
CUST00543,Thomas Jones,46.0,FEMALE,,06-25-2021,140.02,5.0
CUST00816,,,Female,San Antonio,2023-03-27,224.52,5.0
CUST00147,Robert Williams,56.0,F,san diego,2018-12-09,154.76,4.0
CUST00835,Jennifer Jones,61.0,M,Houston,"May 11, 2023",183.66,4.0
CUST00488,Patricia Martinez,13.0, female,,16/02/2021,184.77,3.0
CUST00375,Thomas Rodriguez,39.0,Male,Chicago,05-27-2020,325.52,3.0
CUST00939,Jennifer Anderson,46.0,Female,Chicago,01-09-2024,261.22,4.0
